,word
0,leave
1,european
2,british
3,mister
4,e.u.
5,campaign
6,people
7,remain
8,prime
9,minister
10,union
11,u.k.
12,debate
13,economic
14,country
15,party
16,britain
17,program
18,brexit
19,vote
20,however
21,economy
22,countries
23,nigel
24,mean
25,night
26,referendum
27,call
28,hundred
29,side
30,britain's
31,government
32,register
33,votes
34,june
35,twenty
36,really
37,voters
38,facing
39,again
40,eurozone
41,leader
42,staying
43,claimed
44,trying
45,world
46,russian
47,better
48,trust
49,something
50,control
51,called
52,outcome
53,decide
54,power
55,u.k.'s
56,continued
57,third
58,immigration
59,points
60,political
61,arguments
62,back
63,champion
64,future
65,main
66,bomb
67,harriet
68,harman
69,yes
70,conservative
71,it'll
72,budget
73,form
74,ten
75,bailouts
76,peddling
77,set
78,watching
79,closely
80,sucked
81,russia
82,recently
83,vladimir
84,putin
85,happy
86,exit
87,embassy
88,london
89,racism
90,make
91,lead
92,t.v.
93,farage
94,black
95,unique
96,extraordinary
97,consensus
98,important
99,continue
100,b.
101,deadline
102,p.m.
